"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Totaal personen,Waarde,2016,    22.7,    29.8,    47.5,    17.3,    76.3,     3.7,    16.4,    21.0,    10.5,    26.8,    33.2,    18.7,    20.0,,     1.2,     6.5,     1.3,     2.7,     1.6,     1.5,     8.2,    77.6
Geslacht: Mannen,Waarde,2016,    27.0,    30.8,    42.2,    20.1,    74.3,     4.3,    15.9,    24.0,    10.6,    25.6,    32.9,    19.7,    20.3,,     1.5,     8.6,     1.9,     3.5,     2.4,     2.2,    10.6,    84.2
Geslacht: Vrouwen,Waarde,2016,    18.5,    28.8,    52.7,    14.6,    79.1,     3.2,    17.1,    18.1,    10.4,    28.3,    33.5,    17.7,    19.7,,     0.9,     4.4,     0.7,     2.0,     0.8,     0.8,     5.8,    71.0
Leeftijd: 0 tot 4 jaar,Waarde,2016,,,,,,,,,,,,,,,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2016,,,,,,,,,,,,,,,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2016,     3.3,     1.7,    94.9,     1.0,,     0.0,,     2.7,,,,,,,,     2.7,     0.7,     0.2,     0.0,     0.7,     3.1,
Leeftijd: 16 tot 20 jaar,Waarde,2016,    20.5,     4.7,    74.8,    11.1,,     0.7,,    18.9,,,,,,,     1.1,    15.1,     2.8,     5.8,     1.3,     3.2,    16.0,    68.5
Leeftijd: 20 tot 30 jaar,Waarde,2016,    28.5,    13.0,    58.6,    19.2,    67.4,     2.6,     9.1,    27.8,     8.6,     8.9,    33.2,     5.5,     3.7,,     1.4,    18.9,     5.1,    10.2,     5.2,     5.6,    24.1,    74.2
Leeftijd: 30 tot 40 jaar,Waarde,2016,    29.1,    23.5,    47.5,    21.1,    72.5,     4.1,    14.2,    28.0,     9.1,    18.0,    35.8,     9.9,     8.3,,     1.1,     9.2,     1.5,     3.5,     2.8,     1.5,    12.2,    77.3
Leeftijd: 40 tot 50 jaar,Waarde,2016,    26.3,    28.5,    45.3,    21.2,    80.9,     6.3,    24.0,    24.9,    11.9,    27.7,    30.5,    14.5,    12.9,,     1.1,     5.3,     0.5,     1.9,     1.4,     0.3,     6.9,    79.9
Leeftijd: 50 tot 55 jaar,Waarde,2016,    28.0,    28.6,    43.4,    23.2,    82.8,     5.6,    20.1,    24.9,    12.6,    35.4,    39.3,    18.6,    16.8,,     1.1,     2.5,     0.3,     0.7,     0.4,     1.1,     3.4,    80.3
Leeftijd: 55 tot 65 jaar,Waarde,2016,    24.7,    45.6,    29.8,    20.9,    84.8,     5.1,    20.9,    22.6,    12.3,    42.1,    28.9,    20.7,    22.5,,     1.5,     1.6,     0.0,     0.1,     0.3,     0.4,     2.0,    79.2
