"Health and social care > NHS hospital activity > NHS activity and capacity during the coronavirus (COVID-19) pandemic > NHS hospital admissions by date and patient type"
"NHS hospital admissions by date and patient type"

Filters:
Hospital type: All NHS hospitals
Local Health Board: Wales

"","All admissions ","","All admissions "
"","COVID-19 admissions (suspected and confirmed) (33)","Non-COVID-19 admissions&#10; ","."
"01 April 2020 ",207,505,712
"02 April 2020 ",139,529,668
"03 April 2020 ",110,573,683
"04 April 2020 ",134,482,616
"05 April 2020 ",134,318,452
"06 April 2020 ",123,401,524
"07 April 2020 ",196,574,770
"08 April 2020 ",158,584,742
"09 April 2020 ",126,573,699
"10 April 2020 ",129,474,603
"11 April 2020 ",106,400,506
"12 April 2020 ",168,329,497
"13 April 2020 ",130,311,441
"14 April 2020 ",106,403,509
"15 April 2020 ",151,540,691
"16 April 2020 ",104,594,698
"17 April 2020 ",151,636,787
"18 April 2020 ",129,576,705
"19 April 2020 ",102,328,430
"20 April 2020 (1)",114,380,494
"21 April 2020 ",117,658,775
"22 April 2020 ",127,643,770
"23 April 2020 (2)",137,642,779
"24 April 2020 ",147,666,813
"25 April 2020 ",126,543,669
"26 April 2020 ",99,405,504
"27 April 2020 ",95,441,536
"28 April 2020 ",148,684,832
"29 April 2020 ",136,732,868
"30 April 2020 ",148,717,865
"01 May 2020 ",122,680,802
"02 May 2020 ",147,610,757
"03 May 2020 ",100,407,507
"04 May 2020 ",125,459,584
"05 May 2020 ",140,808,948
"06 May 2020 ",116,758,874
"07 May 2020 ",131,803,934
"08 May 2020 ",144,732,876
"09 May 2020 ",112,508,620
"10 May 2020 ",118,468,586
"11 May 2020 ",120,550,670
"12 May 2020 ",98,815,913
"13 May 2020 ",122,751,873
"14 May 2020 ",112,816,928
"15 May 2020 ",101,756,857
"16 May 2020 ",125,809,934
"17 May 2020 ",99,529,628
"18 May 2020 ",84,529,613
"19 May 2020 ",114,871,985
"20 May 2020 ",108,838,946
"21 May 2020 ",118,864,982
"22 May 2020 ",92,811,903
"23 May 2020 ",123,824,947
"24 May 2020 ",81,499,580
"25 May 2020 ",90,475,565
"26 May 2020 (3)",99,517,616
"27 May 2020 ",117,824,941
"28 May 2020 ",130,835,965
"29 May 2020 ",112,803,915
"30 May 2020 ",103,771,874
"31 May 2020 ",75,521,596
"01 June 2020 (4)",77,576,653
"02 June 2020 ",112,918,1030
"03 June 2020 ",144,919,1063
"04 June 2020 (5)",107,907,1014
"05 June 2020 ",88,854,942
"06 June 2020 ",101,790,891
"07 June 2020 (6)",81,505,586
"08 June 2020 ",61,536,597
"09 June 2020 ",91,998,1089
"10 June 2020 ",103,926,1029
"11 June 2020 ",114,947,1061
"12 June 2020 ",98,913,1011
"13 June 2020 ",127,805,932
"14 June 2020 ",58,519,577
"15 June 2020 ",68,489,557
"16 June 2020 ",96,985,1081
"17 June 2020 ",108,960,1068
"18 June 2020 ",101,996,1097
"19 June 2020 ",85,999,1084
"20 June 2020 ",72,940,1012
"21 June 2020 ",68,537,605
"22 June 2020 ",71,542,613
"23 June 2020 ",83,1104,1187
"24 June 2020 ",105,1000,1105
"25 June 2020 ",67,1080,1147
"26 June 2020 ",96,937,1033
"27 June 2020 ",81,970,1051
"28 June 2020 ",50,552,602
"29 June 2020 (7)",49,530,579
"30 June 2020 ",105,1022,1127
"01 July 2020 ",67,976,1043
"02 July 2020 ",64,1047,1111
"03 July 2020 ",66,977,1043
"04 July 2020 ",80,833,913
"05 July 2020 ",63,470,533
"06 July 2020 ",50,515,565
"07 July 2020 ",64,1044,1108
"08 July 2020 ",63,996,1059
"09 July 2020 ",75,1004,1079
"10 July 2020 (8)",68,997,1065
"11 July 2020 ",76,833,909
"12 July 2020 ",41,539,580
"13 July 2020 ",50,580,630
"14 July 2020 ",63,1051,1114
"15 July 2020 ",49,996,1045
"16 July 2020 ",48,1101,1149
"17 July 2020 ",59,993,1052
"18 July 2020 ",54,1009,1063
"19 July 2020 ",51,587,638
"20 July 2020 ",43,562,605
"21 July 2020 ",46,1013,1059
"22 July 2020 ",72,1002,1074
"23 July 2020 ",88,1091,1179
"24 July 2020 ",61,1008,1069
"25 July 2020 ",48,1055,1103
"26 July 2020 ",45,609,654
"27 July 2020 ",43,637,680
"28 July 2020 ",49,1046,1095
"29 July 2020 ",64,992,1056
"30 July 2020 ",53,1088,1141
"31 July 2020 ",55,1002,1057
"01 August 2020 ",73,950,1023
"02 August 2020 ",35,561,596
"03 August 2020 ",29,575,604
"04 August 2020 ",65,1107,1172
"05 August 2020 ",74,1018,1092
"06 August 2020 ",45,1085,1130
"07 August 2020 ",53,1041,1094
"08 August 2020 ",55,996,1051
"09 August 2020 ",51,543,594
"10 August 2020 ",31,597,628
"11 August 2020 ",47,1202,1249
"12 August 2020 ",45,1076,1121
"13 August 2020 ",63,1147,1210
"14 August 2020 ",39,1042,1081
"15 August 2020 ",52,1016,1068
"16 August 2020 ",37,608,645
"17 August 2020 ",38,636,674
"18 August 2020 ",63,1130,1193
"19 August 2020 ",45,1125,1170
"20 August 2020 ",39,1131,1170
"21 August 2020 ",54,1176,1230
"22 August 2020 ",39,1058,1097
"23 August 2020 ",26,573,599
"24 August 2020 ",36,620,656
"25 August 2020 ",49,1068,1117
"26 August 2020 ",69,1106,1175
"27 August 2020 ",70,1066,1136
"28 August 2020 ",83,1074,1157
"29 August 2020 ",52,1061,1113
"30 August 2020 ",33,628,661
"31 August 2020 ",29,537,566
"01 September 2020 ",69,571,640
"02 September 2020 ",59,1130,1189
"03 September 2020 ",70,1088,1158
"04 September 2020 ",69,1086,1155
"05 September 2020 ",27,1053,1080
"06 September 2020 ",42,574,616
"07 September 2020 ",46,552,598
"08 September 2020 ",65,1121,1186
"09 September 2020 ",56,1084,1140
"10 September 2020 ",49,1013,1062
"11 September 2020 ",70,1097,1167
"12 September 2020 ",55,1067,1122
"13 September 2020 ",55,584,639
"14 September 2020 ",59,597,656
"15 September 2020 ",53,1116,1169
"16 September 2020 ",65,1100,1165
"17 September 2020 ",42,1167,1209
"18 September 2020 ",41,1050,1091
"19 September 2020 ",34,1049,1083
"20 September 2020 ",28,611,639
"21 September 2020 ",59,525,584
"22 September 2020 ",43,1015,1058
"23 September 2020 ",70,1045,1115
"24 September 2020 ",94,1013,1107
"25 September 2020 ",67,1051,1118
"26 September 2020 ",61,944,1005
"27 September 2020 ",56,522,578
"28 September 2020 ",71,584,655
"29 September 2020 ",90,996,1086
"30 September 2020 ",61,1092,1153
"01 October 2020 ",79,1063,1142
"02 October 2020 ",94,1011,1105
"03 October 2020 ",79,953,1032
"04 October 2020 ",92,495,587
"05 October 2020 ",59,548,607
"06 October 2020 ",80,1070,1150
"07 October 2020 ",85,1056,1141
"08 October 2020 ",76,984,1060
"09 October 2020 ",60,997,1057
"10 October 2020 ",103,973,1076
"11 October 2020 ",79,446,525
"12 October 2020 ",86,496,582
"13 October 2020 ",98,1019,1117
"14 October 2020 ",123,970,1093
"15 October 2020 ",102,1009,1111
"16 October 2020 ",105,1005,1110
"17 October 2020 ",112,867,979
"18 October 2020 ",88,501,589
"19 October 2020 (9)",60,511,571
"20 October 2020 ",77,1087,1164
"21 October 2020 ",92,1052,1144
"22 October 2020 ",107,949,1056
"23 October 2020 ",123,935,1058
"24 October 2020 ",98,958,1056
"25 October 2020 ",78,487,565
"26 October 2020 ",76,509,585
"27 October 2020 ",114,879,993
"28 October 2020 ",83,1038,1121
"29 October 2020 ",86,969,1055
"30 October 2020 ",97,927,1024
"31 October 2020 ",80,885,965
"01 November 2020 ",76,518,594
"02 November 2020 ",75,465,540
"03 November 2020 ",104,1046,1150
"04 November 2020 ",129,1004,1133
"05 November 2020 ",102,993,1095
"06 November 2020 ",84,929,1013
"07 November 2020 ",112,858,970
"08 November 2020 ",76,442,518
"09 November 2020 ",64,443,507
"10 November 2020 ",104,909,1013
"11 November 2020 ",96,986,1082
"12 November 2020 ",100,1014,1114
"13 November 2020 (10)",74,979,1053
"14 November 2020 ",91,823,914
"15 November 2020 ",69,431,500
"16 November 2020 (11)",72,507,579
"17 November 2020 ",73,978,1051
"18 November 2020 ",80,1020,1100
"19 November 2020 ",67,1011,1078
"20 November 2020 ",77,1000,1077
"21 November 2020 ",87,942,1029
"22 November 2020 ",62,495,557
"23 November 2020 ",71,412,483
"24 November 2020 ",81,992,1073
"25 November 2020 ",71,1071,1142
"26 November 2020 ",100,1050,1150
"27 November 2020 ",88,918,1006
"28 November 2020 ",72,950,1022
"29 November 2020 ",73,480,553
"30 November 2020 ",62,512,574
"01 December 2020 ",102,974,1076
"02 December 2020 ",85,1006,1091
"03 December 2020 ",50,1003,1053
"04 December 2020 ",61,1090,1151
"05 December 2020 ",84,958,1042
"06 December 2020 ",62,516,578
"07 December 2020 ",63,482,545
"08 December 2020 ",98,999,1097
"09 December 2020 ",76,989,1065
"10 December 2020 ",105,1037,1142
"11 December 2020 ",117,896,1013
"12 December 2020 ",102,843,945
"13 December 2020 ",64,411,475
"14 December 2020 ",67,427,494
"15 December 2020 ",89,952,1041
"16 December 2020 ",132,979,1111
"17 December 2020 ",128,951,1079
"18 December 2020 ",120,937,1057
"19 December 2020 ",110,834,944
"20 December 2020 ",91,456,547
"21 December 2020 ",93,406,499
"22 December 2020 ",125,921,1046
"23 December 2020 ",144,863,1007
"24 December 2020 ",153,847,1000
"25 December 2020 ",110,647,757
"26 December 2020 ",73,365,438
"27 December 2020 ",97,394,491
"28 December 2020 ",125,401,526
"29 December 2020 ",137,481,618
"30 December 2020 ",166,943,1109
"31 December 2020 ",143,986,1129
"01 January 2021 ",163,753,916
"02 January 2021 ",85,420,505
"03 January 2021 ",86,458,544
"04 January 2021 ",86,423,509
"05 January 2021 ",150,874,1024
"06 January 2021 ",144,922,1066
"07 January 2021 ",159,928,1087
"08 January 2021 ",142,1000,1142
"09 January 2021 ",142,872,1014
"10 January 2021 ",96,465,561
"11 January 2021 ",84,430,514
"12 January 2021 ",147,858,1005
"13 January 2021 ",129,986,1115
"14 January 2021 ",122,945,1067
"15 January 2021 ",124,958,1082
"16 January 2021 ",110,846,956
"17 January 2021 ",93,486,579
"18 January 2021 (12)",108,535,643
"19 January 2021 ",133,921,1054
"20 January 2021 ",111,967,1078
"21 January 2021 ",116,950,1066
"22 January 2021 ",133,961,1094
"23 January 2021 ",136,913,1049
"24 January 2021 ",110,536,646
"25 January 2021 ",75,536,611
"26 January 2021 ",120,984,1104
"27 January 2021 ",112,1092,1204
"28 January 2021 ",132,989,1121
"29 January 2021 ",97,976,1073
"30 January 2021 ",104,944,1048
"31 January 2021 ",77,558,635
"01 February 2021 (13)",80,494,574
"02 February 2021 ",99,993,1092
"03 February 2021 ",109,1057,1166
"04 February 2021 ",93,1051,1144
"05 February 2021 ",93,1018,1111
"06 February 2021 ",90,962,1052
"07 February 2021 ",57,493,550
"08 February 2021 ",65,522,587
"09 February 2021 ",87,1055,1142
"10 February 2021 ",88,997,1085
"11 February 2021 ",106,1032,1138
"12 February 2021 ",76,947,1023
"13 February 2021 ",99,962,1061
"14 February 2021 ",91,673,764
"15 February 2021 ",63,609,672
"16 February 2021 ",63,1120,1183
"17 February 2021 ",86,1078,1164
"18 February 2021 ",78,1062,1140
"19 February 2021 ",90,985,1075
