"Persoonskenmerken";"Marges";"Perioden";"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)";"Meeroken onder niet-rokers/(Bijna) nooit (%)";"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)";"Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)";"Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Totaal personen";"Waarde";"2020";"    18.9";"    31.1";"    50.0";"    13.9";"    73.3";"     3.0";"    15.8";"    17.0";"    10.1";"    26.4";"    36.9";"    19.5";"    20.1";"    80.6";"     1.1";"     7.7";"     1.3";"     3.0";"     1.6";"     1.7";"     9.9";"    77.8"
"Geslacht: Mannen";"Waarde";"2020";"    21.2";"    32.4";"    46.4";"    15.1";"    71.1";"     3.5";"    16.5";"    18.3";"    10.4";"    26.0";"    37.0";"    20.3";"    20.2";"    79.0";"     1.4";"    10.1";"     1.4";"     3.4";"     1.9";"     1.6";"    12.1";"    84.3"
"Geslacht: Vrouwen";"Waarde";"2020";"    16.6";"    29.8";"    53.6";"    12.6";"    75.9";"     2.5";"    15.0";"    15.8";"     9.8";"    26.7";"    36.7";"    18.7";"    20.0";"    82.2";"     0.8";"     5.5";"     1.2";"     2.6";"     1.2";"     1.7";"     7.9";"    71.5"
"Leeftijd: 0 tot 4 jaar";"Waarde";"2020";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    95.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Leeftijd: 4 tot 12 jaar";"Waarde";"2020";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    91.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Leeftijd: 12 tot 16 jaar";"Waarde";"2020";"     2.2";"     0.8";"    97.0";"     0.5";"       .";"     0.3";"       .";"     1.7";"       .";"       .";"       .";"       .";"       .";"    80.0";"       .";"     3.7";"     0.0";"     0.2";"     0.0";"     0.0";"     3.7";"       ."
"Leeftijd: 16 tot 20 jaar";"Waarde";"2020";"    14.6";"     3.4";"    82.0";"     7.7";"       .";"     1.2";"       .";"    13.3";"       .";"       .";"       .";"       .";"       .";"    57.9";"     1.1";"    18.9";"     1.4";"     5.7";"     2.5";"     4.6";"    19.7";"    69.3"
"Leeftijd: 20 tot 30 jaar";"Waarde";"2020";"    25.7";"    13.3";"    61.0";"    14.0";"    54.7";"     2.5";"     9.7";"    22.4";"     7.4";"     8.6";"    40.8";"     5.3";"     3.3";"    61.8";"     1.1";"    21.0";"     3.7";"    10.4";"     4.3";"     5.0";"    27.7";"    74.6"
"Leeftijd: 30 tot 40 jaar";"Waarde";"2020";"    25.6";"    24.2";"    50.3";"    17.1";"    66.8";"     4.1";"    15.9";"    23.5";"    10.2";"    18.3";"    39.3";"    10.6";"     8.0";"    76.2";"     1.0";"    11.5";"     2.8";"     4.6";"     3.7";"     2.5";"    15.6";"    77.9"
"Leeftijd: 40 tot 50 jaar";"Waarde";"2020";"    23.2";"    28.1";"    48.7";"    18.9";"    81.5";"     4.3";"    18.4";"    21.5";"    10.8";"    25.7";"    34.1";"    15.2";"    12.4";"    79.1";"     1.0";"     5.5";"     0.8";"     2.0";"     1.5";"     1.1";"     7.3";"    80.0"
