"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Totaal personen,Waarde,2019,    20.4,    30.1,    49.6,    14.8,    72.8,     2.8,    13.7,    18.6,     9.9,    26.1,    34.2,    19.9,    20.0,    77.3,     1.2,     7.1,     1.6,     3.2,     1.7,     1.5,     9.1,    77.9
Geslacht: Mannen,Waarde,2019,    23.7,    31.3,    45.0,    17.0,    71.9,     3.4,    14.3,    20.7,    10.3,    25.1,    32.0,    21.1,    19.8,    75.1,     1.5,     9.3,     2.1,     4.2,     2.6,     2.2,    11.5,    84.6
Geslacht: Vrouwen,Waarde,2019,    17.1,    28.8,    54.1,    12.7,    74.0,     2.2,    12.9,    16.6,     9.5,    27.2,    36.9,    18.6,    20.2,    79.4,     0.8,     4.8,     1.1,     2.1,     0.9,     0.9,     6.7,    71.5
Leeftijd: 0 tot 4 jaar,Waarde,2019,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,    94.8,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 4 tot 12 jaar,Waarde,2019,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,    94.2,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 16 jaar,Waarde,2019,     1.7,     1.4,    96.9,     0.8,       .,     0.4,       .,     1.7,       .,       .,       .,       .,       .,    73.5,       .,     2.6,     0.0,     0.0,     0.0,     0.3,     2.9,       .
Leeftijd: 16 tot 20 jaar,Waarde,2019,    15.9,     3.1,    81.0,     8.2,       .,     0.2,       .,    14.1,       .,       .,       .,       .,       .,    53.1,     1.1,    15.8,     1.3,     3.3,     0.9,     2.6,    16.9,    69.1
Leeftijd: 20 tot 30 jaar,Waarde,2019,    30.6,    14.5,    54.9,    17.7,    57.8,     2.5,     8.2,    28.3,     7.8,     8.2,    34.9,     6.3,     3.0,    54.2,     1.4,    18.8,     6.0,    12.5,     7.0,     5.4,    25.5,    74.6
Leeftijd: 30 tot 40 jaar,Waarde,2019,    26.0,    22.1,    51.9,    18.3,    70.4,     2.8,    10.9,    24.9,     8.7,    17.8,    40.4,    10.5,     8.0,    71.3,     1.0,     9.7,     2.6,     4.9,     2.9,     2.0,    12.9,    78.0
Leeftijd: 40 tot 50 jaar,Waarde,2019,    23.4,    27.6,    49.1,    17.8,    76.3,     3.8,    16.3,    21.9,    10.6,    27.3,    34.2,    15.7,    12.2,    77.7,     1.0,     6.3,     1.1,     2.1,     1.3,     1.1,     8.3,    80.3
Leeftijd: 50 tot 55 jaar,Waarde,2019,    23.9,    28.4,    47.7,    19.6,    82.0,     4.6,    19.1,    21.8,    12.5,    35.4,    30.2,    18.3,    17.0,    75.9,     1.2,     4.8,     0.3,     1.2,     0.3,     0.5,     5.4,    81.2
Leeftijd: 55 tot 65 jaar,Waarde,2019,    21.0,    41.1,    38.0,    17.2,    82.3,     4.1,    19.6,    18.8,    12.2,    41.9,    30.8,    21.8,    21.6,    78.0,     1.3,     3.1,     0.3,     0.3,     0.2,     0.2,     3.6,    80.2
Leeftijd: 65 tot 75 jaar,Waarde,2019,    14.1,    55.6,    30.2,    12.2,    86.1,     2.6,    18.5,    12.1,    12.1,    51.7,    31.3,    24.9,    27.3,    85.5,     1.4,     0.6,     0.1,     0.1,     0.0,     0.2,     1.0,    78.0
Leeftijd: 75 jaar of ouder,Waarde,2019,     7.7,    52.7,    39.6,     6.9,       .,     0.7,       .,     5.8,       .,       .,       .,    28.7,    33.3,    88.7,     1.0,     0.2,     0.0,     0.0,     0.0,     0.4,     0.4,    74.7
Leeftijd: 0 tot 12 jaar,Waarde,2019,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,    94.4,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 18 jaar,Waarde,2019,     5.6,     1.9,    92.5,     2.8,       .,     0.2,       .,     4.9,       .,       .,       .,       .,       .,    66.8,     0.6,     5.8,     0.2,     0.6,     0.2,     1.0,     6.6,       .
Leeftijd: 18 jaar of ouder,Waarde,2019,    21.7,    32.6,    45.7,    15.9,    73.3,     3.0,    13.9,    19.9,    10.0,    26.6,    34.2,    20.0,    20.1,    75.0,     1.2,     7.2,     1.7,     3.4,     1.9,     1.6,     9.3,    77.9
Herkomst: geboren in Nederland,Waarde,2019,    19.8,    31.5,    48.7,    14.2,    71.7,     2.6,    13.2,    17.9,    10.0,    26.4,    33.2,    20.0,    20.5,    77.7,     1.2,     7.0,     1.7,     3.4,     1.9,     1.6,     9.1,    78.3
"Herkomst: geb. in NL, ouders in NL",Waarde,2019,    19.4,    32.7,    47.9,    14.0,    72.4,     2.5,    13.1,    17.6,    10.0,    26.9,    33.4,    20.1,    20.6,    77.9,     1.2,     6.4,     1.7,     3.2,     1.8,     1.5,     8.5,    78.6
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2019,    22.8,    22.8,    54.4,    15.4,    67.7,     3.1,    13.5,    20.3,     9.6,    23.3,    31.8,    18.9,    18.9,    76.5,     1.2,    11.0,     1.7,     4.8,     2.3,     2.4,    13.2,    76.5
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2019,    24.4,    28.8,    46.8,    17.0,       .,     4.3,       .,    22.5,       .,       .,       .,       .,       .,    80.5,     1.2,     9.8,     2.1,     4.6,     2.1,     2.4,    11.6,    77.9
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2019,    21.9,    19.6,    58.5,    14.6,    66.5,     2.4,    11.0,    19.1,       .,       .,       .,    15.1,    15.9,    74.6,     1.2,    11.7,     1.6,     4.9,     2.5,     2.4,    14.1,    75.7
Herkomst: geboren buiten Nederland,Waarde,2019,    24.2,    20.8,    55.1,    18.9,    78.3,     3.9,    16.2,    23.0,     9.8,    24.3,    39.5,    18.9,    15.3,    74.2,     1.0,     7.7,     1.0,     1.7,     1.0,     1.0,     9.1,    75.6
Herkomst: geboren in Europa (excl. NL),Waarde,2019,    25.5,    28.3,    46.2,    18.2,       .,     5.3,       .,    25.5,       .,       .,       .,       .,       .,    74.5,     1.0,     6.8,     0.8,     1.5,     0.7,     1.8,     8.7,    76.2
Herkomst: geboren buiten Europa,Waarde,2019,    23.7,    18.0,    58.3,    19.2,    80.9,     3.4,    14.4,    22.1,     9.8,    24.2,    42.2,    20.1,    15.2,    74.1,     1.0,     8.1,     1.1,     1.8,     1.1,     0.7,     9.3,    75.4
Positie: alleenstaande <40 jaar,Waarde,2019,    37.3,    13.5,    49.2,    22.3,    59.7,     3.4,     9.1,    34.2,     8.0,    11.3,    31.7,       .,       .,    56.6,     1.5,    24.7,     9.9,    14.8,     9.9,     7.3,    31.6,    76.7
Positie: alleenstaande 40 tot 65 jaar,Waarde,2019,    34.3,    26.9,    38.8,    29.2,    85.1,     9.9,    29.0,    32.2,    14.1,    36.3,    32.1,    21.7,    15.7,    71.2,     1.5,     9.6,     2.0,     1.8,     1.6,     0.7,    11.4,    81.0
Positie: alleenstaande >=65 jaar,Waarde,2019,    13.8,    50.4,    35.9,    12.2,       .,     2.9,       .,    11.9,       .,       .,       .,    27.2,    30.1,    88.0,     1.2,     1.0,     0.0,     0.0,     0.0,     0.6,     1.4,    74.9
"Positie: kind <18 jaar, eenoudergezin",Waarde,2019,     5.4,     2.3,    92.3,     3.0,       .,     0.0,       .,     4.1,       .,       .,       .,       .,       .,    76.0,       .,    13.1,     0.0,     0.0,     0.0,     1.2,    13.1,       .
Positie: kind >= 18 jaar eenoudergezin,Waarde,2019,    29.7,     3.4,    67.0,    18.8,       .,     2.2,       .,    26.5,       .,       .,       .,       .,       .,    51.1,     1.2,    22.4,     3.7,    10.1,     6.5,     6.9,    27.1,    74.9
