"Alcoholgebruik, 12 jaar of ouder|Drinkers|Glazen alcohol per dag per drinker","Drugsgebruik, 12 jaar of ouder|Cannabisgebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Cannabisgebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Cannabisgebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Amfetaminegebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Amfetaminegebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Amfetaminegebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Ecstasygebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Ecstasygebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Ecstasygebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Cocaïnegebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Cocaïnegebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Cocaïnegebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Gebruik overige drugs|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Gebruik overige drugs|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Gebruik overige drugs|Ooit",year
aantal,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,2016
"1,2","3,9","6,5","19,7","0,5","1,3","4,1","0,9","2,7","7,0","0,7","1,6","4,5","0,7","1,5","5,0",2016
"1,5","5,7","8,6","23,7","0,8","1,9","5,8","1,3","3,5","8,7","1,1","2,4","6,5","1,1","2,2","6,9",2016
"0,9","2,2","4,4","15,9","0,2","0,7","2,4","0,6","2,0","5,3","0,3","0,8","2,6","0,3","0,8","3,1",2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
.,"0,9","2,7","3,2","0,2","0,7","0,7","0,0","0,2","0,2","0,0","0,0","0,0","0,4","0,7","0,7",2016
"1,1","8,2","15,1","22,4","0,7","2,8","3,8","2,4","5,8","7,5","0,8","1,3","1,5","1,1","3,2","4,3",2016
"1,4","10,8","18,9","41,0","2,2","5,1","9,2","3,6","10,2","19,0","2,1","5,2","9,6","2,5","5,6","11,6",2016
"1,1","6,0","9,2","37,4","0,7","1,5","8,9","1,0","3,5","13,5","1,3","2,8","10,0","0,6","1,5","10,1",2016
"1,1","3,6","5,3","23,0","0,1","0,5","4,4","0,6","1,9","8,8","0,6","1,4","6,8","0,2","0,3","5,6",2016
"1,1","1,7","2,5","14,1","0,1","0,3","2,8","0,2","0,7","3,4","0,2","0,4","2,9","0,6","1,1","3,2",2016
"1,5","1,3","1,6","10,1","0,0","0,0","1,4","0,0","0,1","0,8","0,3","0,3","1,3","0,3","0,4","1,9",2016
