date,COVID-19 admissions (suspected and confirmed),Non-COVID-19 admissions,All submisions
20200401 ,207,505,712
20200402 ,139,529,668
20200403 ,110,573,683
20200404 ,134,482,616
20200405 ,134,318,452
20200406 ,123,401,524
20200407 ,196,574,770
20200408 ,158,584,742
20200409 ,126,573,699
20200410 ,129,474,603
20200411 ,106,400,506
20200412 ,168,329,497
20200413 ,130,311,441
20200414 ,106,403,509
20200415 ,151,540,691
20200416 ,104,594,698
20200417 ,151,636,787
20200418 ,129,576,705
20200419 ,102,328,430
20200420 (1),114,380,494
20200421 ,117,658,775
20200422 ,127,643,770
20200423 (2),137,642,779
20200424 ,147,666,813
20200425 ,126,543,669
20200426 ,99,405,504
20200427 ,95,441,536
20200428 ,148,684,832
20200429 ,136,732,868
20200430 ,148,717,865
20200501 ,122,680,802
20200502 ,147,610,757
20200503 ,100,407,507
20200504 ,125,459,584
20200505 ,140,808,948
20200506 ,116,758,874
20200507 ,131,803,934
20200508 ,144,732,876
20200509 ,112,508,620
20200510 ,118,468,586
20200511 ,120,550,670
20200512 ,98,815,913
20200513 ,122,751,873
20200514 ,112,816,928
20200515 ,101,756,857
20200516 ,125,809,934
20200517 ,99,529,628
20200518 ,84,529,613
20200519 ,114,871,985
20200520 ,108,838,946
20200521 ,118,864,982
20200522 ,92,811,903
20200523 ,123,824,947
20200524 ,81,499,580
20200525 ,90,475,565
20200526 (3),99,517,616
20200527 ,117,824,941
20200528 ,130,835,965
20200529 ,112,803,915
20200530 ,103,771,874
20200531 ,75,521,596
20200601 (4),77,576,653
20200602 ,112,918,1030
20200603 ,144,919,1063
20200604 (5),107,907,1014
20200605 ,88,854,942
20200606 ,101,790,891
20200607 (6),81,505,586
20200608 ,61,536,597
20200609 ,91,998,1089
20200610 ,103,926,1029
20200611 ,114,947,1061
20200612 ,98,913,1011
20200613 ,127,805,932
20200614 ,58,519,577
20200615 ,68,489,557
20200616 ,96,985,1081
20200617 ,108,960,1068
20200618 ,101,996,1097
20200619 ,85,999,1084
20200620 ,72,940,1012
20200621 ,68,537,605
20200622 ,71,542,613
20200623 ,83,1104,1187
20200624 ,105,1000,1105
20200625 ,67,1080,1147
20200626 ,96,937,1033
20200627 ,81,970,1051
20200628 ,50,552,602
20200629 (7),49,530,579
20200630 ,105,1022,1127
20200701 ,67,976,1043
20200702 ,64,1047,1111
20200703 ,66,977,1043
20200704 ,80,833,913
20200705 ,63,470,533
20200706 ,50,515,565
20200707 ,64,1044,1108
20200708 ,63,996,1059
20200709 ,75,1004,1079
20200710 (8),68,997,1065
20200711 ,76,833,909
20200712 ,41,539,580
20200713 ,50,580,630
20200714 ,63,1051,1114
20200715 ,49,996,1045
20200716 ,48,1101,1149
20200717 ,59,993,1052
20200718 ,54,1009,1063
20200719 ,51,587,638
20200720 ,43,562,605
20200721 ,46,1013,1059
20200722 ,72,1002,1074
20200723 ,88,1091,1179
20200724 ,61,1008,1069
20200725 ,48,1055,1103
20200726 ,45,609,654
20200727 ,43,637,680
20200728 ,49,1046,1095
20200729 ,64,992,1056
20200730 ,53,1088,1141
20200731 ,55,1002,1057
20200801 ,73,950,1023
20200802 ,35,561,596
20200803 ,29,575,604
20200804 ,65,1107,1172
20200805 ,74,1018,1092
20200806 ,45,1085,1130
20200807 ,53,1041,1094
20200808 ,55,996,1051
20200809 ,51,543,594
20200810 ,31,597,628
20200811 ,47,1202,1249
20200812 ,45,1076,1121
20200813 ,63,1147,1210
20200814 ,39,1042,1081
20200815 ,52,1016,1068
20200816 ,37,608,645
20200817 ,38,636,674
20200818 ,63,1130,1193
20200819 ,45,1125,1170
20200820 ,39,1131,1170
20200821 ,54,1176,1230
20200822 ,39,1058,1097
20200823 ,26,573,599
20200824 ,36,620,656
20200825 ,49,1068,1117
20200826 ,69,1106,1175
20200827 ,70,1066,1136
20200828 ,83,1074,1157
20200829 ,52,1061,1113
20200830 ,33,628,661
20200831 ,29,537,566
20200901 ,69,571,640
20200902 ,59,1130,1189
20200903 ,70,1088,1158
20200904 ,69,1086,1155
20200905 ,27,1053,1080
20200906 ,42,574,616
20200907 ,46,552,598
20200908 ,65,1121,1186
20200909 ,56,1084,1140
20200910 ,49,1013,1062
20200911 ,70,1097,1167
20200912 ,55,1067,1122
20200913 ,55,584,639
20200914 ,59,597,656
20200915 ,53,1116,1169
20200916 ,65,1100,1165
20200917 ,42,1167,1209
20200918 ,41,1050,1091
20200919 ,34,1049,1083
20200920 ,28,611,639
20200921 ,59,525,584
20200922 ,43,1015,1058
20200923 ,70,1045,1115
20200924 ,94,1013,1107
20200925 ,67,1051,1118
20200926 ,61,944,1005
20200927 ,56,522,578
20200928 ,71,584,655
20200929 ,90,996,1086
20200930 ,61,1092,1153
20201001 ,79,1063,1142
20201002 ,94,1011,1105
20201003 ,79,953,1032
20201004 ,92,495,587
20201005 ,59,548,607
20201006 ,80,1070,1150
20201007 ,85,1056,1141
20201008 ,76,984,1060
20201009 ,60,997,1057
20201010 ,103,973,1076
20201011 ,79,446,525
20201012 ,86,496,582
20201013 ,98,1019,1117
20201014 ,123,970,1093
20201015 ,102,1009,1111
20201016 ,105,1005,1110
20201017 ,112,867,979
20201018 ,88,501,589
20201019 (9),60,511,571
20201020 ,77,1087,1164
20201021 ,92,1052,1144
20201022 ,107,949,1056
20201023 ,123,935,1058
20201024 ,98,958,1056
20201025 ,78,487,565
20201026 ,76,509,585
20201027 ,114,879,993
20201028 ,83,1038,1121
20201029 ,86,969,1055
20201030 ,97,927,1024
20201031 ,80,885,965
20201101 ,76,518,594
20201102 ,75,465,540
20201103 ,104,1046,1150
20201104 ,129,1004,1133
20201105 ,102,993,1095
20201106 ,84,929,1013
20201107 ,112,858,970
20201108 ,76,442,518
20201109 ,64,443,507
20201110 ,104,909,1013
20201111 ,96,986,1082
20201112 ,100,1014,1114
20201113 (10),74,979,1053
20201114 ,91,823,914
20201115 ,69,431,500
20201116 (11),72,507,579
20201117 ,73,978,1051
20201118 ,80,1020,1100
20201119 ,67,1011,1078
20201120 ,77,1000,1077
20201121 ,87,942,1029
20201122 ,62,495,557
20201123 ,71,412,483
20201124 ,81,992,1073
20201125 ,71,1071,1142
20201126 ,100,1050,1150
20201127 ,88,918,1006
20201128 ,72,950,1022
20201129 ,73,480,553
20201130 ,62,512,574
20201201 ,102,974,1076
20201202 ,85,1006,1091
20201203 ,50,1003,1053
20201204 ,61,1090,1151
20201205 ,84,958,1042
20201206 ,62,516,578
20201207 ,63,482,545
20201208 ,98,999,1097
20201209 ,76,989,1065
20201210 ,105,1037,1142
20201211 ,117,896,1013
20201212 ,102,843,945
20201213 ,64,411,475
20201214 ,67,427,494
20201215 ,89,952,1041
20201216 ,132,979,1111
20201217 ,128,951,1079
20201218 ,120,937,1057
20201219 ,110,834,944
20201220 ,91,456,547
20201221 ,93,406,499
20201222 ,125,921,1046
20201223 ,144,863,1007
20201224 ,153,847,1000
20201225 ,110,647,757
20201226 ,73,365,438
20201227 ,97,394,491
20201228 ,125,401,526
20201229 ,137,481,618
20201230 ,166,943,1109
20201231 ,143,986,1129
20210101 ,163,753,916
20210102 ,85,420,505
20210103 ,86,458,544
20210104 ,86,423,509
20210105 ,150,874,1024
20210106 ,144,922,1066
20210107 ,159,928,1087
20210108 ,142,1000,1142
20210109 ,142,872,1014
20210110 ,96,465,561
20210111 ,84,430,514
20210112 ,147,858,1005
20210113 ,129,986,1115
20210114 ,122,945,1067
20210115 ,124,958,1082
20210116 ,110,846,956
20210117 ,93,486,579
20210118 (12),108,535,643
20210119 ,133,921,1054
20210120 ,111,967,1078
20210121 ,116,950,1066
20210122 ,133,961,1094
20210123 ,136,913,1049
20210124 ,110,536,646
20210125 ,75,536,611
20210126 ,120,984,1104
20210127 ,112,1092,1204
20210128 ,132,989,1121
20210129 ,97,976,1073
20210130 ,104,944,1048
20210131 ,77,558,635
20210201 (13),80,494,574
20210202 ,99,993,1092
20210203 ,109,1057,1166
20210204 ,93,1051,1144
20210205 ,93,1018,1111
20210206 ,90,962,1052
20210207 ,57,493,550
20210208 ,65,522,587
20210209 ,87,1055,1142
20210210 ,88,997,1085
20210211 ,106,1032,1138
20210212 ,76,947,1023
20210213 ,99,962,1061
20210214 ,91,673,764
20210215 ,63,609,672
20210216 ,63,1120,1183
20210217 ,86,1078,1164
20210218 ,78,1062,1140
20210219 ,90,985,1075
20210220 ,83,990,1073
20210221 ,65,560,625
20210222 ,45,690,735
20210223 ,53,1119,1172
20210224 ,70,1069,1139
20210225 ,69,1076,1145
20210226 ,67,1098,1165
20210227 ,55,1052,1107
20210228 ,47,566,613
20210301 ,30,583,613
20210302 ,74,1078,1152
20210303 ,52,1093,1145
20210304 ,50,1098,1148
20210305 ,61,1057,1118
20210306 ,61,1048,1109
20210307 ,40,621,661
20210308 (14),26,634,660
20210309 ,40,1048,1088
20210310 ,30,1190,1220
20210311 ,48,1038,1086
20210312 ,40,1150,1190
20210313 ,36,1185,1221
20210314 ,40,655,695
20210315 ,23,695,718
20210316 ,39,1104,1143
20210317 ,55,1224,1279
20210318 ,59,1168,1227
20210319 ,58,1119,1177
20210320 ,51,1091,1142
20210321 ,43,614,657
20210322 ,30,705,735
20210323 ,37,1191,1228
20210324 ,35,1210,1245
20210325 ,19,1251,1270
20210326 ,18,1118,1136
20210327 ,29,1143,1172
20210328 ,19,597,616
20210329 ,11,706,717
20210330 ,17,1121,1138
20210331 ,17,1275,1292
20210401 ,21,1275,1296
20210402 ,25,1197,1222
20210403 ,22,665,687
20210404 ,21,681,702
20210405 ,17,599,616
20210406 ,17,663,680
20210407 ,18,1243,1261
20210408 ,16,1218,1234
20210409 ,16,1278,1294
20210410 ,13,1189,1202
20210411 ,14,693,707
20210412 (15),17,717,734
20210413 ,11,1309,1320
